ref_x,ref_y,ref_theta,ref_curve
456605.1547,4425388.1652,-1.5959,0.0027
456605.1491,4425387.9400,-1.5952,0.0034
456605.1437,4425387.7137,-1.5943,0.0041
456605.1384,4425387.4863,-1.5933,0.0047
456605.1334,4425387.2579,-1.5922,0.0053
456605.1286,4425387.0284,-1.5909,0.0058
456605.1242,4425386.7979,-1.5895,0.0063
456605.1200,4425386.5663,-1.5880,0.0068
456605.1185,4425386.4138,-1.5864,0.0063
456605.1168,4425386.2969,-1.5856,0.0065
456605.1177,4425386.2848,-1.5853,0.0054
456605.1148,4425386.0758,-1.5842,0.0053
456605.1121,4425385.8667,-1.5831,0.0052
456605.1096,4425385.6576,-1.5820,0.0051
456605.1074,4425385.4485,-1.5809,0.0051
456605.1054,4425385.2394,-1.5799,0.0050
456605.1036,4425385.0303,-1.5789,0.0049
456605.1020,4425384.8211,-1.5779,0.0047
456605.1006,4425384.6119,-1.5769,0.0046
456605.0995,4425384.4027,-1.5759,0.0045
456605.0985,4425384.1935,-1.5750,0.0044
456605.0977,4425383.9842,-1.5741,0.0043
456605.0971,4425383.7750,-1.5732,0.0041
456605.0967,4425383.5657,-1.5724,0.0040
456605.0964,4425383.3564,-1.5715,0.0039
456605.0964,4425383.1470,-1.5707,0.0037
456605.0965,4425382.9377,-1.5700,0.0036
456605.0967,4425382.7283,-1.5692,0.0034
456605.0971,4425382.5189,-1.5685,0.0033
456605.0977,4425382.3095,-1.5679,0.0032
456605.0984,4425382.1000,-1.5672,0.0030
456605.0992,4425381.8906,-1.5666,0.0029
456605.1001,4425381.6811,-1.5660,0.0027
456605.1012,4425381.4716,-1.5655,0.0026
456605.1023,4425381.2621,-1.5649,0.0024
456605.1036,4425381.0526,-1.5645,0.0023
456605.1050,4425380.8430,-1.5640,0.0021
456605.1065,4425380.6334,-1.5636,0.0019
456605.1080,4425380.4238,-1.5632,0.0018
456605.1097,4425380.2142,-1.5628,0.0016
456605.1114,4425380.0046,-1.5625,0.0015
456605.1131,4425379.7949,-1.5622,0.0013
456605.1150,4425379.5852,-1.5619,0.0012
456605.1169,4425379.3755,-1.5617,0.0011
456605.1188,4425379.1658,-1.5615,0.0009
456605.1208,4425378.9561,-1.5613,0.0008
456605.1228,4425378.7463,-1.5612,0.0006
456605.1248,4425378.5366,-1.5610,0.0005
456605.1269,4425378.3268,-1.5610,0.0004
456605.1289,4425378.1170,-1.5609,0.0002
456605.1310,4425377.9071,-1.5609,0.0001
456605.1331,4425377.6973,-1.5609,-0.0000
456605.1352,4425377.4874,-1.5609,-0.0001
456605.1373,4425377.2775,-1.5609,-0.0003
456605.1393,4425377.0676,-1.5610,-0.0004
456605.1414,4425376.8577,-1.5611,-0.0005
456605.1434,4425376.6477,-1.5612,-0.0006
456605.1454,4425376.4378,-1.5613,-0.0007
456605.1474,4425376.2278,-1.5615,-0.0008
456605.1487,4425376.0465,-1.5618,-0.0007
456605.1497,4425375.9415,-1.5618,-0.0008
456605.1500,4425375.8725,-1.5620,-0.0006
456605.1517,4425375.6698,-1.5621,-0.0006
456605.1535,4425375.4670,-1.5622,-0.0006
456605.1552,4425375.2642,-1.5623,-0.0006
456605.1569,4425375.0615,-1.5625,-0.0006
456605.1586,4425374.8587,-1.5626,-0.0005
456605.1602,4425374.6560,-1.5627,-0.0005
456605.1619,4425374.4532,-1.5628,-0.0005
456605.1635,4425374.2505,-1.5629,-0.0005
456605.1651,4425374.0477,-1.5630,-0.0005
456605.1667,4425373.8450,-1.5631,-0.0005
456605.1682,4425373.6422,-1.5632,-0.0005
456605.1697,4425373.4394,-1.5633,-0.0005
456605.1713,4425373.2367,-1.5634,-0.0004
456605.1727,4425373.0339,-1.5635,-0.0004
456605.1742,4425372.8312,-1.5636,-0.0004
456605.1757,4425372.6284,-1.5636,-0.0004
456605.1771,4425372.4257,-1.5637,-0.0004
456605.1786,4425372.2229,-1.5638,-0.0004
456605.1800,4425372.0201,-1.5639,-0.0004
456605.1814,4425371.8174,-1.5639,-0.0003
456605.1827,4425371.6146,-1.5640,-0.0003
456605.1841,4425371.4119,-1.5641,-0.0003
456605.1855,4425371.2091,-1.5641,-0.0003
456605.1868,4425371.0063,-1.5642,-0.0003
456605.1881,4425370.8036,-1.5642,-0.0003
456605.1895,4425370.6008,-1.5643,-0.0002
456605.1908,4425370.3980,-1.5643,-0.0002
456605.1921,4425370.1953,-1.5644,-0.0002
456605.1934,4425369.9925,-1.5644,-0.0002
456605.1947,4425369.7898,-1.5645,-0.0002
456605.1960,4425369.5870,-1.5645,-0.0002
456605.1972,4425369.3842,-1.5645,-0.0001
456605.1985,4425369.1815,-1.5646,-0.0001
456605.1998,4425368.9787,-1.5646,-0.0001
456605.2010,4425368.7759,-1.5646,-0.0001
456605.2023,4425368.5732,-1.5646,-0.0001
456605.2035,4425368.3704,-1.5646,-0.0001
456605.2048,4425368.1676,-1.5646,-0.0001
456605.2060,4425367.9649,-1.5647,-0.0000
456605.2073,4425367.7621,-1.5647,-0.0000
456605.2085,4425367.5593,-1.5647,-0.0000
456605.2098,4425367.3566,-1.5647,0.0000
456605.2110,4425367.1538,-1.5647,0.0000
456605.2122,4425366.9510,-1.5647,0.0000
456605.2135,4425366.7483,-1.5646,0.0000
456605.2147,4425366.5455,-1.5646,0.0001
456605.2160,4425366.3427,-1.5646,0.0001
456605.2172,4425366.1400,-1.5646,0.0001
456605.2186,4425365.9452,-1.5646,0.0001
456605.2192,4425365.8439,-1.5646,0.0001
456605.2199,4425365.7525,-1.5646,0.0000
456605.2211,4425365.5517,-1.5646,0.0000
456605.2224,4425365.3510,-1.5646,0.0000
456605.2236,4425365.1502,-1.5646,0.0000
456605.2249,4425364.9495,-1.5645,0.0000
456605.2261,4425364.7487,-1.5645,0.0000
456605.2274,4425364.5480,-1.5645,0.0000
456605.2286,4425364.3472,-1.5645,0.0000
456605.2299,4425364.1464,-1.5645,0.0000
456605.2312,4425363.9457,-1.5645,0.0000
456605.2324,4425363.7449,-1.5645,0.0000
456605.2337,4425363.5442,-1.5645,0.0000
456605.2350,4425363.3434,-1.5645,0.0000
456605.2362,4425363.1426,-1.5645,0.0000
456605.2375,4425362.9419,-1.5645,0.0000
456605.2388,4425362.7411,-1.5645,0.0000
456605.2400,4425362.5404,-1.5645,0.0000
456605.2413,4425362.3396,-1.5645,0.0000
456605.2426,4425362.1388,-1.5644,0.0000
456605.2439,4425361.9381,-1.5644,0.0000
456605.2451,4425361.7373,-1.5644,0.0000
456605.2464,4425361.5366,-1.5644,0.0000
456605.2477,4425361.3358,-1.5644,0.0000
456605.2490,4425361.1350,-1.5644,0.0000
456605.2503,4425360.9343,-1.5644,0.0000
456605.2515,4425360.7335,-1.5644,0.0000
456605.2528,4425360.5328,-1.5644,0.0000
456605.2541,4425360.3320,-1.5644,0.0000
456605.2554,4425360.1312,-1.5644,0.0000
456605.2567,4425359.9305,-1.5644,0.0000
456605.2580,4425359.7297,-1.5644,0.0000
456605.2592,4425359.5290,-1.5644,0.0000
456605.2605,4425359.3282,-1.5644,0.0000
456605.2618,4425359.1275,-1.5644,0.0000
